,Name,TeamAbbreviation,GamesPlayed,Minutes,POINTS,REB,AST,STL,BLK,TrueStock,TrueStock_PerGame
187,Peyton Watson,DEN,80,1488,6.6,3.5,1.1,0.5,1.1,94.0,1.175
188,Matisse Thybulle,POR,65,1487,5.3,2.4,1.3,1.7,0.8,149.0,2.292307692307692
189,Khris Middleton,MIL,55,1487,15.1,4.8,5.3,0.9,0.3,72.0,1.309090909090909
190,Bojan Bogdanovic,NYK,57,1478,15.2,2.9,1.7,0.5,0.1,39.0,0.6842105263157895
191,Julian Champagnie,SAS,74,1468,6.7,3.1,1.3,0.7,0.6,72.0,0.972972972972973
192,Patrick Beverley,MIL,73,1463,6.2,3.6,2.9,0.6,0.4,72.0,0.9863013698630136
193,Amir Coffey,LAC,70,1460,6.7,2.6,1.1,0.6,0.2,56.0,0.8
194,Isaiah Joe,OKC,78,1445,8.2,2.4,1.3,0.6,0.3,98.0,1.2564102564102564
195,Desmond Bane,MEM,42,1443,23.7,4.4,5.5,1.0,0.5,68.0,1.619047619047619
196,Vince Williams Jr.,MEM,52,1436,10.0,5.8,3.4,0.9,0.7,94.0,1.8076923076923077
197,Isaiah Stewart,DET,46,1423,11.1,6.7,1.6,0.3,0.8,48.0,1.0434782608695652
198,Moritz Wagner,ORL,80,1415,10.9,4.4,1.2,0.5,0.3,78.0,0.975
199,Tyler Herro,MIA,42,1407,20.8,5.3,4.5,0.7,0.1,34.0,0.8095238095238095
200,Wendell Carter Jr.,ORL,55,1406,11.0,7.1,1.7,0.6,0.5,62.0,1.1272727272727272
201,Onyeka Okongwu,ATL,55,1405,10.2,6.8,1.3,0.5,1.1,60.0,1.0909090909090908
202,Amen Thompson,HOU,62,1388,9.5,6.8,2.6,1.3,0.6,114.0,1.8387096774193548
203,Haywood Highsmith,MIA,66,1366,6.1,3.6,1.1,0.8,0.5,76.0,1.1515151515151516
204,Dyson Daniels,NOP,61,1358,5.8,4.0,2.7,1.4,0.4,106.0,1.7377049180327868
205,Andre Drummond,CHI,79,1351,8.5,9.1,0.5,0.9,0.6,105.0,1.3291139240506329
206,Marcus Sasser,DET,71,1351,8.2,2.1,3.4,0.6,0.2,62.0,0.8732394366197183
207,Kris Murray,POR,62,1348,6.1,4.2,1.3,0.9,0.3,69.0,1.1129032258064515
208,Miles McBride,NYK,68,1328,8.3,2.3,1.7,0.7,0.1,73.0,1.0735294117647058
209,Jakob Poeltl,TOR,50,1319,11.1,8.6,2.5,0.7,1.5,85.0,1.7
